Trading_Date,Trading_Period,Consumption(kWh),Contract_Price($)
2022-02-01,00:00,104.04,0.0778
2022-02-01,00:30,107.3,0.0778
2022-02-01,01:00,102.75,0.0778
2022-02-01,01:30,118.84,0.0778
2022-02-01,02:00,114.36,0.0778
2022-02-01,02:30,113.51,0.0778
2022-02-01,03:00,116.13,0.0778
2022-02-01,03:30,103.39,0.0778
2022-02-01,04:00,99.64,0.0904
2022-02-01,04:30,115.05,0.0904
2022-02-01,05:00,117.5,0.0904
2022-02-01,05:30,161.06,0.0904
2022-02-01,06:00,206.73,0.0904
2022-02-01,06:30,194.2,0.0904
2022-02-01,07:00,310.62,0.0904
2022-02-01,07:30,332.47,0.0904
2022-02-01,08:00,370.66,0.1056
2022-02-01,08:30,387.67,0.1056
2022-02-01,09:00,397.38,0.1056
2022-02-01,09:30,410.46,0.1056
2022-02-01,10:00,440.58,0.1056
2022-02-01,10:30,385.19,0.1056
2022-02-01,11:00,374.39,0.1056
2022-02-01,11:30,380.19,0.1056
2022-02-01,12:00,377.63,0.1048
2022-02-01,12:30,439.21,0.1048
2022-02-01,13:00,411.55,0.1048
2022-02-01,13:30,384.29,0.1048
2022-02-01,14:00,391.5,0.1048
2022-02-01,14:30,395.54,0.1048
2022-02-01,15:00,382.93,0.1048
2022-02-01,15:30,458.63,0.1048
2022-02-01,16:00,366.07,0.0963
2022-02-01,16:30,173.54,0.0963
2022-02-01,17:00,131.19,0.0963
2022-02-01,17:30,119.26,0.0963
2022-02-01,18:00,119.57,0.0963
2022-02-01,18:30,107.87,0.0963
2022-02-01,19:00,100.64,0.0963
2022-02-01,19:30,96.63,0.0963
2022-02-01,20:00,123.74,0.0919
2022-02-01,20:30,116.09,0.0919
2022-02-01,21:00,103.84,0.0919
2022-02-01,21:30,95.27,0.0919
2022-02-01,22:00,86.85,0.0919
2022-02-01,22:30,86.66,0.0919
2022-02-01,23:00,102.07,0.0919
2022-02-01,23:30,96.53,0.0919
2022-02-02,00:00,86.86,0.0778
2022-02-02,00:30,83.81,0.0778
2022-02-02,01:00,88.17,0.0778
2022-02-02,01:30,97.73,0.0778
2022-02-02,02:00,100.45,0.0778
2022-02-02,02:30,122.03,0.0778
2022-02-02,03:00,119.23,0.0778
2022-02-02,03:30,98.95,0.0778
2022-02-02,04:00,88.89,0.0904
2022-02-02,04:30,96.68,0.0904
2022-02-02,05:00,99.6,0.0904
2022-02-02,05:30,136.62,0.0904
2022-02-02,06:00,240.65,0.0904
2022-02-02,06:30,391.91,0.0904
2022-02-02,07:00,465.28,0.0904
2022-02-02,07:30,470.61,0.0904
2022-02-02,08:00,456.67,0.1056
2022-02-02,08:30,435.18,0.1056
2022-02-02,09:00,440.23,0.1056
2022-02-02,09:30,446.65,0.1056
2022-02-02,10:00,458.93,0.1056
2022-02-02,10:30,428.04,0.1056
2022-02-02,11:00,437.51,0.1056
2022-02-02,11:30,461.28,0.1056
2022-02-02,12:00,447.23,0.1048
2022-02-02,12:30,456.13,0.1048
2022-02-02,13:00,471.24,0.1048
2022-02-02,13:30,457.06,0.1048
2022-02-02,14:00,450.31,0.1048
2022-02-02,14:30,453.98,0.1048
2022-02-02,15:00,272.38,0.1048
2022-02-02,15:30,247.06,0.1048
2022-02-02,16:00,233.61,0.0963
2022-02-02,16:30,185.23,0.0963
2022-02-02,17:00,126.96,0.0963
2022-02-02,17:30,128.44,0.0963
2022-02-02,18:00,112.79,0.0963
2022-02-02,18:30,120.87,0.0963
2022-02-02,19:00,112.28,0.0963
2022-02-02,19:30,124.69,0.0963
2022-02-02,20:00,105.65,0.0919
2022-02-02,20:30,125.98,0.0919
2022-02-02,21:00,123.43,0.0919
2022-02-02,21:30,112.38,0.0919
2022-02-02,22:00,111.71,0.0919
2022-02-02,22:30,113.6,0.0919
