Trading_Date,Trading_Period,East(kW/m2),West(kW/m2)
2022-02-01,00:00,0.0,0.0
2022-02-01,00:30,0.0,0.0
2022-02-01,01:00,0.0,0.0
2022-02-01,01:30,0.0,0.0
2022-02-01,02:00,0.0,0.0
2022-02-01,02:30,0.0,0.0
2022-02-01,03:00,0.0,0.0
2022-02-01,03:30,0.0,0.0
2022-02-01,04:00,0.0,0.0
2022-02-01,04:30,0.0,0.0
2022-02-01,05:00,0.0,0.0
2022-02-01,05:30,0.0,0.0
2022-02-01,06:00,0.0235,0.0235
2022-02-01,06:30,0.0235,0.0235
2022-02-01,07:00,0.067,0.062
2022-02-01,07:30,0.067,0.062
2022-02-01,08:00,0.1595,0.143
2022-02-01,08:30,0.1595,0.143
2022-02-01,09:00,0.208,0.1795
2022-02-01,09:30,0.208,0.1795
2022-02-01,10:00,0.1655,0.1655
2022-02-01,10:30,0.1655,0.1655
2022-02-01,11:00,0.156,0.156
2022-02-01,11:30,0.156,0.156
2022-02-01,12:00,0.3015,0.298
2022-02-01,12:30,0.3015,0.298
2022-02-01,13:00,0.259,0.262
2022-02-01,13:30,0.259,0.262
2022-02-01,14:00,0.238,0.249
2022-02-01,14:30,0.238,0.249
2022-02-01,15:00,0.1945,0.229
2022-02-01,15:30,0.1945,0.229
2022-02-01,16:00,0.181,0.244
2022-02-01,16:30,0.181,0.244
2022-02-01,17:00,0.112,0.1325
2022-02-01,17:30,0.112,0.1325
2022-02-01,18:00,0.0355,0.06
2022-02-01,18:30,0.0355,0.06
2022-02-01,19:00,0.0075,0.01
2022-02-01,19:30,0.0075,0.01
2022-02-01,20:00,0.0,0.0
2022-02-01,20:30,0.0,0.0
2022-02-01,21:00,0.0,0.0
2022-02-01,21:30,0.0,0.0
2022-02-01,22:00,0.0,0.0
2022-02-01,22:30,0.0,0.0
2022-02-01,23:00,0.0,0.0
2022-02-01,23:30,0.0,0.0
2022-02-02,00:00,0.0,0.0
2022-02-02,00:30,0.0,0.0
2022-02-02,01:00,0.0,0.0
2022-02-02,01:30,0.0,0.0
2022-02-02,02:00,0.0,0.0
2022-02-02,02:30,0.0,0.0
2022-02-02,03:00,0.0,0.0
2022-02-02,03:30,0.0,0.0
2022-02-02,04:00,0.0,0.0
2022-02-02,04:30,0.0,0.0
2022-02-02,05:00,0.0,0.0
2022-02-02,05:30,0.0,0.0
2022-02-02,06:00,0.022,0.022
2022-02-02,06:30,0.022,0.022
2022-02-02,07:00,0.093,0.083
2022-02-02,07:30,0.093,0.083
2022-02-02,08:00,0.1885,0.158
2022-02-02,08:30,0.1885,0.158
2022-02-02,09:00,0.2575,0.233
2022-02-02,09:30,0.2575,0.233
2022-02-02,10:00,0.4215,0.343
2022-02-02,10:30,0.4215,0.343
2022-02-02,11:00,0.422,0.39
2022-02-02,11:30,0.422,0.39
2022-02-02,12:00,0.4415,0.434
2022-02-02,12:30,0.4415,0.434
2022-02-02,13:00,0.426,0.449
2022-02-02,13:30,0.426,0.449
2022-02-02,14:00,0.3785,0.436
2022-02-02,14:30,0.3785,0.436
2022-02-02,15:00,0.309,0.404
2022-02-02,15:30,0.309,0.404
2022-02-02,16:00,0.1935,0.284
2022-02-02,16:30,0.1935,0.284
2022-02-02,17:00,0.0685,0.0775
2022-02-02,17:30,0.0685,0.0775
2022-02-02,18:00,0.021,0.0235
2022-02-02,18:30,0.021,0.0235
2022-02-02,19:00,0.0015,0.0015
2022-02-02,19:30,0.0015,0.0015
2022-02-02,20:00,0.0,0.0
2022-02-02,20:30,0.0,0.0
2022-02-02,21:00,0.0,0.0
2022-02-02,21:30,0.0,0.0
2022-02-02,22:00,0.0,0.0
2022-02-02,22:30,0.0,0.0
2022-02-02,23:00,0.0,0.0
2022-02-02,23:30,0.0,0.0
2022-02-03,00:00,0.0,0.0
2022-02-03,00:30,0.0,0.0
2022-02-03,01:00,0.0,0.0
2022-02-03,01:30,0.0,0.0
2022-02-03,02:00,0.0,0.0
2022-02-03,02:30,0.0,0.0
2022-02-03,03:00,0.0,0.0
2022-02-03,03:30,0.0,0.0
2022-02-03,04:00,0.0,0.0
2022-02-03,04:30,0.0,0.0
2022-02-03,05:00,0.0,0.0
2022-02-03,05:30,0.0,0.0
2022-02-03,06:00,0.0125,0.0125
2022-02-03,06:30,0.0125,0.0125
2022-02-03,07:00,0.0515,0.048
2022-02-03,07:30,0.0515,0.048
2022-02-03,08:00,0.0825,0.077
2022-02-03,08:30,0.0825,0.077
2022-02-03,09:00,0.1025,0.1025
2022-02-03,09:30,0.1025,0.1025
2022-02-03,10:00,0.2,0.2
2022-02-03,10:30,0.2,0.2
2022-02-03,11:00,0.2955,0.2825
2022-02-03,11:30,0.2955,0.2825
2022-02-03,12:00,0.341,0.3375
2022-02-03,12:30,0.341,0.3375
2022-02-03,13:00,0.3295,0.341
2022-02-03,13:30,0.3295,0.341
2022-02-03,14:00,0.3655,0.4185
2022-02-03,14:30,0.3655,0.4185
2022-02-03,15:00,0.173,0.175
2022-02-03,15:30,0.173,0.175
2022-02-03,16:00,0.0125,0.0125
2022-02-03,16:30,0.0125,0.0125
2022-02-03,17:00,0.055,0.055
2022-02-03,17:30,0.055,0.055
2022-02-03,18:00,0.0475,0.104
2022-02-03,18:30,0.0475,0.104
2022-02-03,19:00,0.0215,0.0615
2022-02-03,19:30,0.0215,0.0615
2022-02-03,20:00,0.0,0.0
2022-02-03,20:30,0.0,0.0
2022-02-03,21:00,0.0,0.0
2022-02-03,21:30,0.0,0.0
2022-02-03,22:00,0.0,0.0
2022-02-03,22:30,0.0,0.0
2022-02-03,23:00,0.0,0.0
2022-02-03,23:30,0.0,0.0
2022-02-04,00:00,0.0,0.0
2022-02-04,00:30,0.0,0.0
2022-02-04,01:00,0.0,0.0
2022-02-04,01:30,0.0,0.0
2022-02-04,02:00,0.0,0.0
2022-02-04,02:30,0.0,0.0
2022-02-04,03:00,0.0,0.0
2022-02-04,03:30,0.0,0.0
2022-02-04,04:00,0.0,0.0
2022-02-04,04:30,0.0,0.0
2022-02-04,05:00,0.0015,0.0015
2022-02-04,05:30,0.0015,0.0015
2022-02-04,06:00,0.047,0.026
2022-02-04,06:30,0.047,0.026
2022-02-04,07:00,0.1555,0.0975
2022-02-04,07:30,0.1555,0.0975
2022-02-04,08:00,0.256,0.1815
2022-02-04,08:30,0.256,0.1815
2022-02-04,09:00,0.281,0.2645
2022-02-04,09:30,0.281,0.2645
2022-02-04,10:00,0.231,0.2275
2022-02-04,10:30,0.231,0.2275
2022-02-04,11:00,0.328,0.3195
2022-02-04,11:30,0.328,0.3195
2022-02-04,12:00,0.2525,0.251
2022-02-04,12:30,0.2525,0.251
2022-02-04,13:00,0.252,0.2575
2022-02-04,13:30,0.252,0.2575
2022-02-04,14:00,0.31,0.344
2022-02-04,14:30,0.31,0.344
2022-02-04,15:00,0.1855,0.198
2022-02-04,15:30,0.1855,0.198
2022-02-04,16:00,0.0885,0.0885
2022-02-04,16:30,0.0885,0.0885
