Trading_Date,Trading_Period,ISL($/MWh),OTA($/MWh)
2020-01-01,00:00,7.52,8.06
2020-01-01,00:30,5.07,5.32
2020-01-01,01:00,1.17,1.22
2020-01-01,01:30,1.27,1.28
2020-01-01,02:00,0.03,0.03
2020-01-01,02:30,0.03,0.03
2020-01-01,03:00,0.03,0.03
2020-01-01,03:30,0.03,0.06
2020-01-01,04:00,0.03,0.06
2020-01-01,04:30,0.03,0.06
2020-01-01,05:00,0.03,0.03
2020-01-01,05:30,0.03,0.03
2020-01-01,06:00,0.03,0.03
2020-01-01,06:30,0.03,0.03
2020-01-01,07:00,0.03,0.03
2020-01-01,07:30,0.03,0.03
2020-01-01,08:00,0.03,0.03
2020-01-01,08:30,0.03,0.03
2020-01-01,09:00,0.03,0.03
2020-01-01,09:30,4.18,4.28
2020-01-01,10:00,7.66,8.17
2020-01-01,10:30,10.26,10.93
2020-01-01,11:00,11.23,11.99
2020-01-01,11:30,11.17,11.93
2020-01-01,12:00,20.27,21.66
2020-01-01,12:30,11.31,12.0
2020-01-01,13:00,10.5,11.07
2020-01-01,13:30,11.25,11.86
2020-01-01,14:00,15.16,15.98
2020-01-01,14:30,15.18,15.94
2020-01-01,15:00,21.34,22.65
2020-01-01,15:30,20.92,22.04
2020-01-01,16:00,21.43,22.6
2020-01-01,16:30,21.45,22.8
2020-01-01,17:00,21.98,23.49
2020-01-01,17:30,22.15,23.69
2020-01-01,18:00,21.43,22.8
2020-01-01,18:30,22.33,23.83
2020-01-01,19:00,22.33,23.76
2020-01-01,19:30,22.24,23.01
2020-01-01,20:00,22.11,22.81
2020-01-01,20:30,36.7,38.29
2020-01-01,21:00,36.96,38.98
2020-01-01,21:30,20.94,21.79
2020-01-01,22:00,9.72,10.25
2020-01-01,22:30,7.52,7.9
2020-01-01,23:00,4.37,4.35
2020-01-01,23:30,0.23,0.23
2020-01-02,00:00,0.03,0.03
2020-01-02,00:30,0.03,0.03
2020-01-02,01:00,0.03,0.03
2020-01-02,01:30,0.03,0.05
2020-01-02,02:00,0.03,0.05
2020-01-02,02:30,0.03,0.03
2020-01-02,03:00,0.03,0.03
2020-01-02,03:30,0.03,0.05
2020-01-02,04:00,0.03,0.03
2020-01-02,04:30,0.03,0.03
2020-01-02,05:00,0.11,0.11
2020-01-02,05:30,0.03,0.03
2020-01-02,06:00,3.71,3.73
2020-01-02,06:30,0.03,0.03
2020-01-02,07:00,0.03,0.03
2020-01-02,07:30,5.4,5.46
2020-01-02,08:00,5.36,5.32
2020-01-02,08:30,16.24,16.74
2020-01-02,09:00,20.74,22.04
2020-01-02,09:30,21.68,23.15
2020-01-02,10:00,21.79,24.2
2020-01-02,10:30,21.66,23.13
2020-01-02,11:00,20.81,22.25
2020-01-02,11:30,7.66,8.04
2020-01-02,12:00,15.31,16.35
2020-01-02,12:30,16.17,17.28
2020-01-02,13:00,16.15,17.27
2020-01-02,13:30,16.14,17.25
2020-01-02,14:00,16.14,17.22
2020-01-02,14:30,21.33,22.74
2020-01-02,15:00,10.63,11.25
2020-01-02,15:30,10.62,11.25
2020-01-02,16:00,21.34,22.94
2020-01-02,16:30,24.5,27.02
2020-01-02,17:00,27.92,31.4
2020-01-02,17:30,27.92,31.33
2020-01-02,18:00,27.97,31.48
2020-01-02,18:30,35.14,38.92
2020-01-02,19:00,37.17,41.57
2020-01-02,19:30,34.88,39.04
2020-01-02,20:00,36.66,38.91
2020-01-02,20:30,40.16,43.69
2020-01-02,21:00,50.66,56.19
2020-01-02,21:30,45.88,50.06
2020-01-02,22:00,21.6,23.12
2020-01-02,22:30,7.52,7.94
2020-01-02,23:00,0.23,0.24
2020-01-02,23:30,0.03,0.03
2020-01-03,00:00,0.03,0.03
2020-01-03,00:30,0.18,0.18
2020-01-03,01:00,0.03,0.03
2020-01-03,01:30,0.03,0.03
2020-01-03,02:00,0.03,0.03
2020-01-03,02:30,0.03,0.03
2020-01-03,03:00,1.16,1.14
2020-01-03,03:30,1.2,1.18
2020-01-03,04:00,1.15,1.14
2020-01-03,04:30,0.03,0.03
2020-01-03,05:00,4.77,4.71
2020-01-03,05:30,4.77,4.93
2020-01-03,06:00,5.04,5.42
2020-01-03,06:30,4.81,5.28
2020-01-03,07:00,30.51,33.72
2020-01-03,07:30,21.66,23.86
2020-01-03,08:00,21.67,23.82
2020-01-03,08:30,42.17,48.93
2020-01-03,09:00,35.25,41.57
2020-01-03,09:30,37.85,45.39
2020-01-03,10:00,37.45,44.91
2020-01-03,10:30,42.67,51.18
2020-01-03,11:00,32.0,38.94
2020-01-03,11:30,21.66,25.74
2020-01-03,12:00,21.97,25.68
2020-01-03,12:30,17.35,20.3
2020-01-03,13:00,17.35,20.19
2020-01-03,13:30,28.23,32.87
2020-01-03,14:00,29.36,34.39
2020-01-03,14:30,38.89,45.33
2020-01-03,15:00,30.75,37.1
2020-01-03,15:30,38.94,45.32
2020-01-03,16:00,30.95,36.51
2020-01-03,16:30,45.92,54.7
2020-01-03,17:00,47.36,55.38
2020-01-03,17:30,46.85,55.38
2020-01-03,18:00,47.49,55.06
2020-01-03,18:30,48.82,55.62
2020-01-03,19:00,51.44,59.31
2020-01-03,19:30,47.85,54.23
2020-01-03,20:00,52.11,56.3
2020-01-03,20:30,51.71,56.47
2020-01-03,21:00,49.26,54.08
2020-01-03,21:30,42.77,47.66
2020-01-03,22:00,33.74,36.62
