Station information:,,,,,,,,,,,
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority,,,,
"Lincoln, Broadfield Ews",17603,H32645,-43.62622,172.4704,18,H,Niwa/Plant & Food Research,,,,
"Christchurch, Kyle St Ews",24120,H3256F,-43.53074,172.60769,6,H,Niwa,,,,
Sugar Loaf Aws,35136,H32669,-43.60369,172.64928,496,H,Metservice,,,,
Diamond Harbour Ews,40985,H32674,-43.63312,172.72808,122,H,Niwa,,,,
Bromley Ews,43967,H3257J,-43.52828,172.72096,3,H,Niwa,,,,
Cass Ews,44637,H31073,-43.03447,171.75999,571,H,Niwa,,,,
Christchurch Botanic Gardens Ews,44763,H3256Q,-43.5294,172.62,17,H,Niwa,,,,
Christchurch Aero,4843,H32451,-43.493,172.537,37,G,N/A,,,,
"Note: Position precision types are: ""W"" = based on whole minutes, ""T"" = estimated to tenth minute,",,,,,,,,,,,
"G = derived from gridref , ""E"" = error cases derived from gridref,",,,,,,,,,,,
"H = based on GPS readings (NZGD49), ""D"" = by definition i.e. grid points.",,,,,,,,,,,
,,,,,,,,,,,
Max_min: Daily,,,,,,,,,,,
Station,Date(NZST),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
17603,01/01/19,22,24,14.6,24,13.2,24,-,-,-,D
24120,01/01/19,21.2,24,15.4,24,-,-,-,-,-,D
35136,01/01/19,20.8,24,12.8,24,-,-,-,-,-,D
40985,01/01/19,21.5,24,15,24,16.5,24,-,-,-,D
4843,01/01/19,21,24,15.3,24,16.1,24,-,-,-,D
17603,02/01/19,24.5,24,15.3,24,13.9,24,-,-,-,D
24120,02/01/19,25.2,24,14.3,24,-,-,-,-,-,D
35136,02/01/19,21.5,24,13.4,24,-,-,-,-,-,D
40985,02/01/19,26.5,24,14.5,24,12.2,24,-,-,-,D
4843,02/01/19,23.7,24,13.4,24,13,24,-,-,-,D
17603,03/01/19,29.8,24,11.3,24,8.4,24,-,-,-,D
24120,03/01/19,32.6,24,14.1,24,-,-,-,-,-,D
35136,03/01/19,26.8,24,13.2,24,-,-,-,-,-,D
40985,03/01/19,31.5,24,13.9,24,10.6,24,-,-,-,D
4843,03/01/19,31,24,11.9,24,11.1,24,-,-,-,D
17603,04/01/19,29.2,24,11.3,24,7.1,24,-,-,-,D
24120,04/01/19,31.9,24,13.6,24,-,-,-,-,-,D
35136,04/01/19,26,24,10.5,24,-,-,-,-,-,D
40985,04/01/19,30.5,24,13,24,11.7,24,-,-,-,D
4843,04/01/19,30.2,24,11.4,24,10.6,24,-,-,-,D
17603,05/01/19,23,24,14.8,24,13.1,24,-,-,-,D
24120,05/01/19,24.2,24,15.4,24,-,-,-,-,-,D
35136,05/01/19,20.8,24,11,24,-,-,-,-,-,D
40985,05/01/19,23.4,24,13.9,24,15.2,24,-,-,-,D
4843,05/01/19,23.3,24,14.4,24,13.8,24,-,-,-,D
17603,06/01/19,28.2,24,18,24,17.6,24,-,-,-,D
24120,06/01/19,27.7,24,19.4,24,-,-,-,-,-,D
35136,06/01/19,26.7,24,15.5,24,-,-,-,-,-,D
40985,06/01/19,27.9,24,17.9,24,15.8,24,-,-,-,D
4843,06/01/19,28.7,24,19,24,19.8,24,-,-,-,D
