isWE,Trading_Period,ctct_1,ecot_1,elik_1,elik_2,elik_3,elik_4,flik_1,flik_2,gene_1,gene_2,geol_1,geol_2,merc_1,merc_2,merc_3,meri_1,meri_2,nova_1,pion_1,psnz_1,punz_1,swth_1,trus_1,trus_2
FALSE,0:00,0.108,0.181,0.248,0.258,0.143,0.258,0.128,20.76,0.11,0.12,0.229,0.101,0.129,0.129,0.129,0.261,0.0933,0.133,0.14,0.154,0.14,0.143,0.237,0.216
FALSE,0:30,0.108,0.181,0.248,0.258,0.143,0.258,0.128,20.76,0.11,0.12,0.229,0.101,0.129,0.129,0.129,0.261,0.0933,0.133,0.14,0.154,0.14,0.143,0.237,0.216
FALSE,1:00,0.108,0.181,0.248,0.258,0.143,0.258,0.128,20.76,0.11,0.12,0.229,0.101,0.129,0.129,0.129,0.261,0.0933,0.133,0.14,0.154,0.14,0.143,0.237,0.216
FALSE,1:30,0.108,0.181,0.248,0.258,0.143,0.258,0.128,20.76,0.11,0.12,0.229,0.101,0.129,0.129,0.129,0.261,0.0933,0.133,0.14,0.154,0.14,0.143,0.237,0.216
FALSE,2:00,0.108,0.181,0.248,0.258,0.143,0.258,0.128,20.76,0.11,0.12,0.229,0.101,0.129,0.129,0.129,0.261,0.0933,0.133,0.14,0.154,0.14,0.143,0.237,0.216
FALSE,2:30,0.108,0.181,0.248,0.258,0.143,0.258,0.128,20.76,0.11,0.12,0.229,0.101,0.129,0.129,0.129,0.261,0.0933,0.133,0.14,0.154,0.14,0.143,0.237,0.216
FALSE,3:00,0.108,0.181,0.248,0.258,0.143,0.258,0.128,20.76,0.11,0.12,0.229,0.101,0.129,0.129,0.129,0.261,0.0933,0.133,0.14,0.154,0.14,0.143,0.237,0.216
FALSE,3:30,0.108,0.181,0.248,0.258,0.143,0.258,0.128,20.76,0.11,0.12,0.229,0.101,0.129,0.129,0.129,0.261,0.0933,0.133,0.14,0.154,0.14,0.143,0.237,0.216
FALSE,4:00,0.108,0.181,0.248,0.258,0.143,0.258,0.128,20.76,0.11,0.12,0.229,0.101,0.129,0.129,0.129,0.261,0.0933,0.133,0.14,0.154,0.14,0.143,0.237,0.216
FALSE,4:30,0.108,0.181,0.248,0.258,0.143,0.258,0.128,20.76,0.11,0.12,0.229,0.101,0.129,0.129,0.129,0.261,0.0933,0.133,0.14,0.154,0.14,0.143,0.237,0.216
FALSE,5:00,0.108,0.181,0.248,0.258,0.143,0.258,0.128,20.76,0.11,0.12,0.229,0.101,0.129,0.129,0.129,0.261,0.0933,0.133,0.14,0.154,0.14,0.143,0.237,0.216
FALSE,5:30,0.108,0.181,0.248,0.258,0.143,0.258,0.128,20.76,0.11,0.12,0.229,0.101,0.129,0.129,0.129,0.261,0.0933,0.133,0.14,0.154,0.14,0.143,0.237,0.216
FALSE,6:00,0.108,0.181,0.248,0.258,0.143,0.258,0.128,20.76,0.11,0.12,0.229,0.101,0.129,0.129,0.129,0.261,0.0933,0.133,0.14,0.154,0.14,0.143,0.237,0.216
FALSE,6:30,0.108,0.181,0.248,0.258,0.143,0.258,0.128,20.76,0.11,0.12,0.229,0.101,0.129,0.129,0.129,0.261,0.0933,0.133,0.14,0.154,0.14,0.143,0.237,0.216
FALSE,7:00,0.276,0.252,0.248,0.258,0.286,0.258,0.301,20.76,0.27,0.3,0.229,0.252,0.33,0.324,0.323,0.261,0.356,0.262,0.253,0.257,0.253,0.308,0.237,0.216
FALSE,7:30,0.276,0.252,0.248,0.258,0.286,0.258,0.301,20.76,0.27,0.3,0.229,0.252,0.33,0.324,0.323,0.261,0.356,0.262,0.253,0.257,0.253,0.308,0.237,0.216
FALSE,8:00,0.276,0.252,0.248,0.258,0.286,0.258,0.301,20.76,0.27,0.3,0.229,0.252,0.33,0.324,0.323,0.261,0.356,0.262,0.253,0.257,0.253,0.308,0.237,0.216
FALSE,8:30,0.276,0.252,0.248,0.258,0.286,0.258,0.301,20.76,0.27,0.3,0.229,0.252,0.33,0.324,0.323,0.261,0.356,0.262,0.253,0.257,0.253,0.308,0.237,0.216
