Date,Trading_Period,Consumption(KWh)
2021-07-16,00:00,15.675
2021-07-17,00:00,14.914
2021-07-18,00:00,16.403
2021-07-19,00:00,15.076
2021-07-20,00:00,17.305
2021-07-21,00:00,13.55
2021-07-22,00:00,11.399
2021-07-23,00:00,12.41
2021-07-24,00:00,16.327
2021-07-25,00:00,13.567
2021-07-26,00:00,11.734
2021-07-27,00:00,11.538
2021-07-28,00:00,14.952
2021-07-29,00:00,14.811
2021-07-30,00:00,17.857
2021-07-31,00:00,14.628
2021-08-01,00:00,15.323
2021-08-02,00:00,16.742
2021-08-03,00:00,15.532
2021-08-04,00:00,15.984
2021-08-05,00:00,13.996
2021-08-06,00:00,13.739
2021-08-07,00:00,15.578
2021-08-08,00:00,12.861
2021-08-09,00:00,17.339
2021-08-10,00:00,15.961
2021-08-11,00:00,17.799
2021-08-12,00:00,18.294
2021-08-13,00:00,16.809
2021-08-14,00:00,15.676
2021-08-15,00:00,16.786
2021-08-16,00:00,17.848
2021-08-17,00:00,14.964
2021-08-18,00:00,15.749
2021-08-19,00:00,14.918
2021-08-20,00:00,14.696
2021-08-21,00:00,20.339
2021-08-22,00:00,17.681
2021-08-23,00:00,16.388
2021-08-24,00:00,17.653
2021-08-25,00:00,17.618
2021-08-26,00:00,15.193
2021-08-27,00:00,13.192
2021-08-28,00:00,17.823
2021-08-29,00:00,4.737
2021-08-30,00:00,16.387
2021-08-31,00:00,16.741
2021-09-01,00:00,14.04
2021-09-02,00:00,16.194
2021-09-03,00:00,12.973
2021-09-04,00:00,13.961
2021-09-05,00:00,17.648
2021-09-06,00:00,7.95
2021-09-07,00:00,14.127
2021-09-08,00:00,13.304
2021-09-09,00:00,13.121
2021-09-10,00:00,15.089
2021-09-11,00:00,11.078
2021-09-12,00:00,4.36
2021-09-13,00:00,14.039
2021-09-14,00:00,11.497
2021-09-15,00:00,12.536
2021-09-16,00:00,13.535
2021-09-17,00:00,13.823
2021-09-18,00:00,11.025
2021-09-19,00:00,11.605
2021-09-20,00:00,13.932
2021-09-21,00:00,13.854
2021-09-22,00:00,12.61
2021-09-23,00:00,13.27
2021-09-24,00:00,7.73
2021-09-25,00:00,3.565
2021-09-26,00:00,3.103
2021-09-27,00:00,11.512
2021-09-28,00:00,12.112
2021-09-29,00:00,11.447
2021-09-30,00:00,4.839
2021-10-01,00:00,7.896
2021-10-02,00:00,4.85
2021-10-03,00:00,11.516
2021-10-04,00:00,11.135
2021-10-05,00:00,6.61
2021-10-06,00:00,11.485
2021-10-07,00:00,3.727
2021-10-08,00:00,3.567
2021-10-09,00:00,1.333
2021-10-10,00:00,3.391
2021-10-11,00:00,2.187
2021-10-12,00:00,11.916
2021-10-13,00:00,17.037
2021-10-14,00:00,15.327
2021-10-15,00:00,0.95
2021-10-16,00:00,0.972
2021-10-17,00:00,1.352
2021-10-18,00:00,3.84
2021-10-19,00:00,3.21
2021-10-20,00:00,2.5
2021-10-21,00:00,4.594
2021-10-22,00:00,2.317
2021-10-23,00:00,1.335
2021-10-24,00:00,1.902
2021-10-25,00:00,1.533
2021-10-26,00:00,4.408
2021-10-27,00:00,5.538
2021-10-28,00:00,12.68
2021-10-29,00:00,4.137
2021-10-30,00:00,2.634
2021-10-31,00:00,5.551
2021-11-01,00:00,12.886
2021-11-02,00:00,1.835
2021-11-03,00:00,2.673
2021-11-04,00:00,3.441
2021-11-05,00:00,1.383
2021-11-06,00:00,2.346
2021-11-07,00:00,2.463
2021-11-08,00:00,2.747
2021-11-09,00:00,6.115
2021-11-10,00:00,8.296
2021-11-11,00:00,9.111
2021-11-12,00:00,5.266
2021-11-13,00:00,9.214
2021-11-14,00:00,9.047
2021-11-15,00:00,7.44
2021-11-16,00:00,6.975
2021-11-17,00:00,4.103
2021-11-18,00:00,6.918
2021-11-19,00:00,6.043
2021-11-20,00:00,5.455
2021-11-21,00:00,8.523
2021-11-22,00:00,6.964
2021-11-23,00:00,8.36
2021-11-24,00:00,8.3
2021-11-25,00:00,8.579
2021-11-26,00:00,7.315
2021-11-27,00:00,6.286
2021-11-28,00:00,4.215
2021-11-29,00:00,6.017
2021-11-30,00:00,6.109
2021-12-01,00:00,7.641
2021-12-02,00:00,6.048
2021-12-03,00:00,
2021-12-04,00:00,5.935
2021-12-05,00:00,7.879
2021-12-06,00:00,7.168
2021-12-07,00:00,5.762
2021-12-08,00:00,6.123
2021-12-09,00:00,7.786
2021-12-10,00:00,6.92
2021-12-11,00:00,7.73
2021-12-12,00:00,5.66
2021-12-13,00:00,5.459
2021-12-14,00:00,5.561
2021-12-15,00:00,7.211
2021-12-16,00:00,6.335
2021-12-17,00:00,6.913
2021-12-18,00:00,5.547
2021-12-19,00:00,5.979
2021-12-20,00:00,6.847
2021-12-21,00:00,5.58
2021-12-22,00:00,6.142
2021-12-23,00:00,4.779
2021-12-24,00:00,5.908
2021-12-25,00:00,6.114
2021-12-26,00:00,5.097
2021-12-27,00:00,3.817
2021-12-28,00:00,5.172
2021-12-29,00:00,5.095
2021-12-30,00:00,5.96
2021-12-31,00:00,3.183
2022-01-01,00:00,3.221
2022-01-02,00:00,3.247
2022-01-03,00:00,4.901
2022-01-04,00:00,7.993
2022-01-05,00:00,7.847
2022-01-06,00:00,6.838
2022-01-07,00:00,6.827
2022-01-08,00:00,5.99
2022-01-09,00:00,5.189
2022-01-10,00:00,4.872
2022-01-11,00:00,5.009
2022-01-12,00:00,8.853
2022-01-13,00:00,9.819
2022-01-14,00:00,8.683
2022-01-15,00:00,3.679
2022-01-16,00:00,4.852
2022-01-17,00:00,5.661
2022-01-18,00:00,9.341
2022-01-19,00:00,9.0
2022-01-20,00:00,5.726
2022-01-21,00:00,6.115
2022-01-22,00:00,8.112
2022-01-23,00:00,8.573
2022-01-24,00:00,7.961
2022-01-25,00:00,8.061
2022-01-26,00:00,7.347
2022-01-27,00:00,6.135
2022-01-28,00:00,6.558
2022-01-29,00:00,9.096
2022-01-30,00:00,7.812
2022-01-31,00:00,8.129
2022-02-01,00:00,3.846
2022-02-02,00:00,4.282
2022-02-03,00:00,7.432
2022-02-04,00:00,6.953
2022-02-05,00:00,3.648
2022-02-06,00:00,6.731
2022-02-07,00:00,5.499
2021-07-16,00:30,13.525
2021-07-17,00:30,14.043
2021-07-18,00:30,12.872
2021-07-19,00:30,14.971
2021-07-20,00:30,16.181
2021-07-21,00:30,12.372
2021-07-22,00:30,11.626
2021-07-23,00:30,11.777
2021-07-24,00:30,13.352
2021-07-25,00:30,11.72
2021-07-26,00:30,10.679
2021-07-27,00:30,10.39
2021-07-28,00:30,12.947
2021-07-29,00:30,15.648
2021-07-30,00:30,15.657
2021-07-31,00:30,12.474
2021-08-01,00:30,14.185
2021-08-02,00:30,15.146
2021-08-03,00:30,13.597
2021-08-04,00:30,15.346
2021-08-05,00:30,11.694
2021-08-06,00:30,13.574
