Trading_Date,Trading_Period,workingdays,icp667(KWh),icp713(KWh),ISL2201(c$/KWh),TOU_price(c$/KWh),System_20Degrees,System_25Degrees,System_31Degrees,System_34Degrees,System_39Degrees,Carbon_Intensity(g/KWh)
2022-07-01,00:00,1,51.67,108.02,16.926,13.29,0.0,0.0,0.0,0.0,0.0,78.7116672031051
2022-07-01,00:30,1,51.76,107.55,14.647,13.29,0.0,0.0,0.0,0.0,0.0,85.29626516734251
2022-07-01,01:00,1,51.72,107.74,20.402,13.29,0.0,0.0,0.0,0.0,0.0,87.77054985199219
2022-07-01,01:30,1,51.61,107.49,16.927,13.29,0.0,0.0,0.0,0.0,0.0,89.00433962099618
2022-07-01,02:00,1,51.62,107.46,14.609,13.29,0.0,0.0,0.0,0.0,0.0,83.35796628212228
2022-07-01,02:30,1,51.62,107.49,2.248,13.29,0.0,0.0,0.0,0.0,0.0,78.25372879114788
2022-07-01,03:00,1,51.65,107.89,10.972,13.29,0.0,0.0,0.0,0.0,0.0,82.3833507288833
2022-07-01,03:30,1,51.64,107.36,8.954,13.29,0.0,0.0,0.0,0.0,0.0,82.64765730384087
2022-07-01,04:00,1,51.67,107.44,11.072,15.41,0.0,0.0,0.0,0.0,0.0,85.84715076534344
2022-07-01,04:30,1,51.64,107.46,17.699,15.41,0.0,0.0,0.0,0.0,0.0,88.98531867719588
2022-07-01,05:00,1,51.54,108.19,21.813,15.41,0.0,0.0,0.0,0.0,0.0,95.21929817995088
2022-07-01,05:30,1,50.89,107.5,21.725,15.41,0.0,0.0,0.0,0.0,0.0,98.56713752232504
2022-07-01,06:00,1,51.98,108.93,24.512999999999998,15.41,0.0,0.0,0.0,0.0,0.0,103.83304537090584
2022-07-01,06:30,1,52.0,119.58,18.431,15.41,0.0,0.0,0.0,0.0,0.0,111.39906189823073
2022-07-01,07:00,1,52.75,131.12,19.727,15.41,0.0,0.0,0.0,0.0,0.0,116.86005439739496
2022-07-01,07:30,1,53.21,127.44,22.636000000000003,15.41,0.0,0.0,0.0,0.0,0.0,120.75770367022012
2022-07-01,08:00,1,52.77,132.18,21.371000000000002,16.99,0.0,0.0,0.0,0.0,0.0,124.79567354940072
2022-07-01,08:30,1,52.25,136.8,22.607,16.99,0.021,0.021,0.021,0.021,0.022,125.6392836784359
2022-07-01,09:00,1,51.93,132.45,21.497999999999998,16.99,0.041,0.041,0.041,0.042,0.045,125.9806962117088
2022-07-01,09:30,1,51.86,132.53,20.418,16.99,0.091,0.097,0.108,0.113,0.12,126.88414523999924
2022-07-01,10:00,1,52.25,130.13,19.889,16.99,0.142,0.153,0.174,0.184,0.195,121.21206250012742
2022-07-01,10:30,1,52.93,133.04,17.392,16.99,0.258,0.292,0.354,0.366,0.387,119.6596618349132
2022-07-01,11:00,1,53.03,133.39,20.669,16.99,0.375,0.432,0.533,0.548,0.58,115.9600876363139
2022-07-01,11:30,1,53.04,132.78,17.329,16.99,0.377,0.433,0.527,0.542,0.572,116.080437427267
2022-07-01,12:00,1,53.07,129.04,17.509,14.86,0.379,0.434,0.522,0.535,0.565,117.95677659415534
2022-07-01,12:30,1,52.74,135.01,17.057,14.86,0.363,0.415,0.502,0.516,0.545,120.41107696627458
2022-07-01,13:00,1,52.35,135.84,17.619,14.86,0.347,0.396,0.483,0.496,0.524,125.93908187956754
2022-07-01,13:30,1,52.04,135.49,15.566999999999998,14.86,0.27,0.305,0.369,0.383,0.405,123.05385537884148
2022-07-01,14:00,1,52.03,135.12,14.998,14.86,0.194,0.215,0.255,0.271,0.287,122.01079312619602
2022-07-01,14:30,1,51.9,134.18,8.761,14.86,0.179,0.202,0.246,0.277,0.304,121.63718578793932
2022-07-01,15:00,1,51.9,134.26,0.914,14.86,0.164,0.189,0.237,0.283,0.321,116.36150124371444
2022-07-01,15:30,1,51.94,121.01,1.2810000000000001,14.86,0.109,0.125,0.158,0.189,0.26,117.16913441849616
2022-07-01,16:00,1,51.99,114.5,15.146,18.17,0.054,0.062,0.079,0.095,0.198,118.84891966433368
2022-07-01,16:30,1,51.92,113.04,18.804,18.17,0.027,0.031,0.04,0.048,0.099,121.02807497446668
2022-07-01,17:00,1,52.21,113.44,19.531,18.17,0.0,0.0,0.0,0.0,0.0,120.42277935913424
2022-07-01,17:30,1,52.28,114.13,22.309,18.17,0.0,0.0,0.0,0.0,0.0,116.17023298540263
2022-07-01,18:00,1,52.32,112.51,22.357,18.17,0.0,0.0,0.0,0.0,0.0,115.72704696405386
2022-07-01,18:30,1,52.57,111.07,22.853,18.17,0.0,0.0,0.0,0.0,0.0,117.8382030038514
2022-07-01,19:00,1,52.76,111.5,22.349,18.17,0.0,0.0,0.0,0.0,0.0,122.033259814302
2022-07-01,19:30,1,52.38,111.68,22.243000000000002,18.17,0.0,0.0,0.0,0.0,0.0,125.2157712227081
2022-07-01,20:00,1,52.25,111.98,22.158,15.71,0.0,0.0,0.0,0.0,0.0,128.30156597171404
2022-07-01,20:30,1,52.24,110.77,22.185,15.71,0.0,0.0,0.0,0.0,0.0,126.93639598359516
2022-07-01,21:00,1,52.11,110.62,23.227,15.71,0.0,0.0,0.0,0.0,0.0,129.18225054072605
2022-07-01,21:30,1,52.15,111.73,21.551,15.71,0.0,0.0,0.0,0.0,0.0,131.7517192491015
2022-07-01,22:00,1,53.06,112.37,19.934,15.71,0.0,0.0,0.0,0.0,0.0,118.87108064236472
2022-07-01,22:30,1,53.14,111.1,20.171,15.71,0.0,0.0,0.0,0.0,0.0,115.94514834943128
2022-07-01,23:00,1,52.94,112.64,21.881999999999998,15.71,0.0,0.0,0.0,0.0,0.0,111.05526873418448
2022-07-01,23:30,1,52.26,112.29,16.937,15.71,0.0,0.0,0.0,0.0,0.0,108.26423166532192
2022-07-02,00:00,0,52.11,111.2,16.942,13.84,0.0,0.0,0.0,0.0,0.0,83.86166938094095
2022-07-02,00:30,0,52.13,111.06,18.967,13.84,0.0,0.0,0.0,0.0,0.0,86.63737890340406
2022-07-02,01:00,0,52.21,110.83,18.701,13.84,0.0,0.0,0.0,0.0,0.0,78.5884245857537
2022-07-02,01:30,0,52.15,110.98,20.088,13.84,0.0,0.0,0.0,0.0,0.0,78.42676532629687
2022-07-02,02:00,0,52.26,110.0,16.945,13.84,0.0,0.0,0.0,0.0,0.0,79.3772761573202
2022-07-02,02:30,0,52.27,109.52,16.922,13.84,0.0,0.0,0.0,0.0,0.0,80.19570977010136
2022-07-02,03:00,0,52.26,109.78,19.852,13.84,0.0,0.0,0.0,0.0,0.0,81.36182588451226
2022-07-02,03:30,0,52.34,109.79,19.849,13.84,0.0,0.0,0.0,0.0,0.0,81.95394757799906
2022-07-02,04:00,0,52.31,110.77,21.253999999999998,12.97,0.0,0.0,0.0,0.0,0.0,81.35592980790781
2022-07-02,04:30,0,52.39,110.94,21.192,12.97,0.0,0.0,0.0,0.0,0.0,82.92521681743234
2022-07-02,05:00,0,52.36,111.38,21.636000000000003,12.97,0.0,0.0,0.0,0.0,0.0,81.80565247359306
2022-07-02,05:30,0,52.21,110.21,21.731,12.97,0.0,0.0,0.0,0.0,0.0,83.41900342516135
2022-07-02,06:00,0,52.18,111.47,21.738999999999997,12.97,0.0,0.0,0.0,0.0,0.0,107.04159704731376
2022-07-02,06:30,0,52.37,110.14,21.683,12.97,0.0,0.0,0.0,0.0,0.0,109.727727775294
2022-07-02,07:00,0,51.77,110.14,20.318,12.97,0.0,0.0,0.0,0.0,0.0,118.4555956000165
2022-07-02,07:30,0,51.8,110.58,21.93,12.97,0.0,0.0,0.0,0.0,0.0,125.14674776225624
2022-07-02,08:00,0,51.48,110.72,22.173,15.57,0.0,0.0,0.0,0.0,0.0,126.74508524146738
2022-07-02,08:30,0,51.52,111.6,22.228,15.57,0.001,0.001,0.001,0.001,0.001,122.40956907600744
2022-07-02,09:00,0,50.98,109.81,22.362000000000002,15.57,0.003,0.003,0.003,0.003,0.003,119.9146872162319
2022-07-02,09:30,0,50.87,110.27,21.593,15.57,0.017,0.017,0.016,0.016,0.017,121.47792296795384
2022-07-02,10:00,0,50.84,111.9,20.205000000000002,15.57,0.031,0.031,0.03,0.03,0.032,121.52183186165408
2022-07-02,10:30,0,50.89,111.95,19.241999999999997,15.57,0.045,0.045,0.045,0.045,0.047,122.4928104434753
2022-07-02,11:00,0,51.01,111.86,17.048,15.57,0.06,0.06,0.059,0.059,0.062,119.94289515085735
2022-07-02,11:30,0,50.94,112.69,16.932,15.57,0.077,0.077,0.077,0.077,0.08,118.99576082123885
2022-07-02,12:00,0,50.99,113.28,10.677,13.25,0.093,0.094,0.094,0.095,0.099,116.81585570384613
2022-07-02,12:30,0,51.02,113.49,3.6770000000000005,13.25,0.086,0.086,0.086,0.087,0.091,122.41609700851689
2022-07-02,13:00,0,50.99,112.93,2.132,13.25,0.078,0.078,0.078,0.079,0.082,123.93628024646436
2022-07-02,13:30,0,52.04,114.18,2.571,13.25,0.071,0.071,0.071,0.071,0.074,125.5832697384571
2022-07-02,14:00,0,52.01,113.66,2.666,13.25,0.063,0.063,0.063,0.064,0.067,122.28669828660598
2022-07-02,14:30,0,51.95,112.19,2.17,13.25,0.052,0.052,0.052,0.053,0.055,123.1331204216564
2022-07-02,15:00,0,51.73,113.62,10.143,13.25,0.041,0.041,0.041,0.042,0.044,123.77963568286916
2022-07-02,15:30,0,51.02,113.66,11.947,13.25,0.021,0.021,0.02,0.021,0.022,121.8815073179117
2022-07-02,16:00,0,51.17,112.86,16.929,16.2,0.0,0.0,0.0,0.0,0.0,117.43884706129931
2022-07-02,16:30,0,52.01,112.74,17.046,16.2,0.0,0.0,0.0,0.0,0.0,115.10058970796456
2022-07-02,17:00,0,52.45,112.58,17.844,16.2,0.0,0.0,0.0,0.0,0.0,111.70815017754929
